Method,w_omega,h_MRF,h_MRF_adj,f_applied,isMatchedToSM,h_SM_reference
MRF,31.7,30.3219947347689,34.7812335248948,1.14706284428619,0,NaN
MRF,44.1,35.8405305616451,41.1113409267667,1.14706284428619,0,NaN
MRF,69.7,39.2480675529297,45.02,1.14706284428619,1,45.02
MRF,99.5,39.8606819894017,45.7227072579504,1.14706284428619,0,NaN
