Var,Pearson_r,Pearson_p,Pearson_CI_low,Pearson_CI_high,Spearman_rho,Spearman_p,Spearman_CI_low,Spearman_CI_high,Spearman_CI_width
h,0.709181022142131,0.179825385249587,-0.462407720803786,0.97893864806734,0.820782681668123,0.133333333333333,0,1,1
T_max,-0.977647473334753,0.00399817940548998,-0.99858707194034,-0.69391017900314,-0.974679434480896,0.0333333333333333,-1,-0.74535599249993,0.25464400750007
Q,-0.113460741882572,0.855847850863617,-0.905122090160605,0.854325933787635,-0.564288093646835,0.366666666666667,-1,0.875,1.875
Cd_t,0.99374184280517,0.000593738836060082,0.904429635584306,0.999607407937706,0.974679434480896,0.0333333333333333,0.74535599249993,1,0.25464400750007
Tavg,-0.093204215061325,0.88150074899316,-0.901351639465775,0.859761189793628,-0.564288093646835,0.366666666666667,-1,0.875,1.875
