"x_velocity","arc_length","Points:0","Points:1","Points:2"
0,0,0.47325,0,-0.325
0,0.00082499,0.47325,0,-0.32418
0,0.00165,0.47325,0,-0.32335
12.967,0.002475,0.47325,0,-0.32252
11.771,0.0033,0.47325,0,-0.3217
10.792,0.004125,0.47325,0,-0.32087
0,0.00495,0.47325,0,-0.32005
0,0.005775,0.47325,0,-0.31923
0,0.0066,0.47325,0,-0.3184
0,0.007425,0.47325,0,-0.31758
0,0.00825,0.47325,0,-0.31675
0,0.009075,0.47325,0,-0.31593
22,0.0099,0.47325,0,-0.3151
0,0.010725,0.47325,0,-0.31427
0,0.01155,0.47325,0,-0.31345
0,0.012375,0.47325,0,-0.31262
0,0.0132,0.47325,0,-0.3118
0,0.014025,0.47325,0,-0.31097
0,0.01485,0.47325,0,-0.31015
0,0.015675,0.47325,0,-0.30933
0,0.0165,0.47325,0,-0.3085
0,0.017325,0.47325,0,-0.30768
0,0.01815,0.47325,0,-0.30685
0,0.018975,0.47325,0,-0.30602
0,0.0198,0.47325,0,-0.3052
0,0.020625,0.47325,0,-0.30437
0,0.02145,0.47325,0,-0.30355
0,0.022275,0.47325,0,-0.30272
0,0.0231,0.47325,0,-0.3019
5.2717,0.023925,0.47325,0,-0.30108
5.2261,0.02475,0.47325,0,-0.30025
5.1891,0.025575,0.47325,0,-0.29943
5.1733,0.0264,0.47325,0,-0.2986
5.1718,0.027225,0.47325,0,-0.29778
5.1757,0.02805,0.47325,0,-0.29695
0,0.028875,0.47325,0,-0.29612
0,0.0297,0.47325,0,-0.2953
0,0.030525,0.47325,0,-0.29447
5.0735,0.03135,0.47325,0,-0.29365
5.0704,0.032175,0.47325,0,-0.29283
5.0672,0.033,0.47325,0,-0.292
5.0641,0.033825,0.47325,0,-0.29118
5.061,0.03465,0.47325,0,-0.29035
5.0578,0.035475,0.47325,0,-0.28953
5.0547,0.0363,0.47325,0,-0.2887
5.0516,0.037125,0.47325,0,-0.28787
5.0484,0.03795,0.47325,0,-0.28705
5.0453,0.038775,0.47325,0,-0.28622
5.0498,0.0396,0.47325,0,-0.2854
5.0607,0.040425,0.47325,0,-0.28457
5.0716,0.04125,0.47325,0,-0.28375
5.0825,0.042075,0.47325,0,-0.28293
5.0934,0.0429,0.47325,0,-0.2821
5.1043,0.043725,0.47325,0,-0.28128
5.1152,0.04455,0.47325,0,-0.28045
5.1261,0.045375,0.47325,0,-0.27962
5.137,0.0462,0.47325,0,-0.2788
5.1479,0.047025,0.47325,0,-0.27797
0,0.04785,0.47325,0,-0.27715
5.1665,0.048675,0.47325,0,-0.27632
5.1877,0.0495,0.47325,0,-0.2755
5.214,0.050325,0.47325,0,-0.27468
5.2431,0.05115,0.47325,0,-0.27385
5.2735,0.051975,0.47325,0,-0.27303
5.3046,0.0528,0.47325,0,-0.2722
5.336,0.053625,0.47325,0,-0.27138
5.3675,0.05445,0.47325,0,-0.27055
5.2597,0.055275,0.47325,0,-0.26972
5.4302,0.0561,0.47325,0,-0.2689
5.4603,0.056925,0.47325,0,-0.26807
5.4887,0.05775,0.47325,0,-0.26725
0,0.058575,0.47325,0,-0.26643
5.5363,0.0594,0.47325,0,-0.2656
5.5539,0.060225,0.47325,0,-0.26478
0,0.06105,0.47325,0,-0.26395
5.5688,0.061875,0.47325,0,-0.26313
5.5785,0.0627,0.47325,0,-0.2623
5.5904,0.063525,0.47325,0,-0.26147
5.6156,0.06435,0.47325,0,-0.26065
5.6407,0.065175,0.47325,0,-0.25982
5.6659,0.066,0.47325,0,-0.259
5.6911,0.066825,0.47325,0,-0.25817
