"x_velocity","arc_length","Points:0","Points:1","Points:2"
6.306,0.11715,0.55212,0,-0.20785
6.2946,0.11797,0.55212,0,-0.20703
6.2832,0.1188,0.55212,0,-0.2062
6.2703,0.11962,0.55212,0,-0.20538
6.2562,0.12045,0.55212,0,-0.20455
6.2422,0.12127,0.55212,0,-0.20372
6.2281,0.1221,0.55212,0,-0.2029
6.2141,0.12292,0.55212,0,-0.20208
6.2001,0.12375,0.55212,0,-0.20125
6.186,0.12457,0.55212,0,-0.20042
6.172,0.1254,0.55212,0,-0.1996
6.1579,0.12622,0.55212,0,-0.19877
6.1439,0.12705,0.55212,0,-0.19795
6.1263,0.12787,0.55212,0,-0.19713
6.1083,0.1287,0.55212,0,-0.1963
6.0902,0.12952,0.55212,0,-0.19547
6.0721,0.13035,0.55212,0,-0.19465
6.0541,0.13117,0.55212,0,-0.19383
6.036,0.132,0.55212,0,-0.193
6.0179,0.13282,0.55212,0,-0.19218
5.9999,0.13365,0.55212,0,-0.19135
5.9818,0.13447,0.55212,0,-0.19052
5.9628,0.1353,0.55212,0,-0.1897
5.9395,0.13612,0.55212,0,-0.18888
5.9162,0.13695,0.55212,0,-0.18805
5.8929,0.13777,0.55212,0,-0.18722
5.8696,0.1386,0.55212,0,-0.1864
5.8463,0.13942,0.55212,0,-0.18557
5.8231,0.14025,0.55212,0,-0.18475
5.7998,0.14107,0.55212,0,-0.18393
5.7765,0.1419,0.55212,0,-0.1831
5.7532,0.14272,0.55212,0,-0.18227
5.7271,0.14355,0.55212,0,-0.18145
5.698,0.14437,0.55212,0,-0.18063
5.6688,0.1452,0.55212,0,-0.1798
5.6397,0.14602,0.55212,0,-0.17898
5.6106,0.14685,0.55212,0,-0.17815
5.5815,0.14767,0.55212,0,-0.17732
5.5524,0.1485,0.55212,0,-0.1765
5.5233,0.14932,0.55212,0,-0.17568
5.4941,0.15015,0.55212,0,-0.17485
5.465,0.15097,0.55212,0,-0.17402
