"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_L","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
0.89962,7,3.7381e+06,1,5688,1.225,106,0.36215,0.0033589,1260.4,1.5178,266.69,435.41,-2.0801e+06,-2.0801e+06,0.95802,21224,372.69,605.66,2.0189,4.6098,51.302,5.2713,0.0091014,-16.191,17.028,1.7894e-05,5.569e-05,21127,0.58679,5.2713,7.603,0.0091014,-16.191,1,-0.30019,0,-0.097538
0.88583,7,4.0158e+06,1,5688,1.225,107.49,0.36215,0.0033589,-608.89,1.3635,262.61,428.74,-2.542e+06,-2.542e+06,0.92351,19614,370.09,501.12,1.9143,4.1585,54.609,5.6118,-0.010191,-16.186,17.132,1.7894e-05,7.1989e-05,19487,0.56565,5.6118,8.0183,-0.010191,-16.186,1,-0.29844,0,-0.10276
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2966,0,-0.10796
0.85912,7,3.9899e+06,1,5688,1.225,122.3,0.36215,0.0033589,503.02,1.2132,254.69,415.82,-1.2058e+06,-1.2058e+06,1.0991,18847,376.99,399.61,1.8072,3.6885,41.757,6.879,0.0033158,-17.95,19.223,1.7894e-05,2.3985e-05,18773,0.67319,6.879,10.781,0.0033158,-17.95,1,-0.29468,0,-0.11312
0.845,7,4.053e+06,1,5688,1.225,127.44,0.36215,0.0033589,59.333,1.1135,250.5,408.98,-1.6235e+06,-1.6235e+06,1.1645,20059,377.94,343.8,1.7348,3.4067,40.525,7.4317,0.0011204,-18.357,19.804,1.7894e-05,2.9014e-05,19973,0.71325,7.4317,10.98,0.0011204,-18.357,1,-0.29266,0,-0.11824
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29055,0,-0.12333
0.81559,7,4.2138e+06,1,5688,1.225,136.07,0.36215,0.0033589,1574.3,0.92458,241.78,394.75,-9.6338e+05,-9.6338e+05,0,18474,377.85,251.28,1.5796,2.8314,40.238,6.0692,0.028572,-13.532,14.831,1.7894e-05,3.9817e-05,18412,0,6.0692,0,0.028572,-13.532,1,-0.28835,0,-0.12838
0.80111,7,4.0629e+06,1,5688,1.225,135.13,0.36215,0.0033589,1137,0.85683,237.49,387.74,-1.1976e+06,-1.1976e+06,1.07,15340,372.62,220.19,1.5274,2.6486,40.797,8.6566,0.0035195,-18.528,20.45,1.7894e-05,3.0543e-05,15260,0.65538,8.6566,12.594,0.0035195,-18.528,1,-0.28607,0,-0.1334
0.78547,7,4.2109e+06,1,5688,1.225,142.87,0.36215,0.0033589,134.21,0.78996,232.85,380.17,-2.5879e+06,-2.5879e+06,0.61753,16627,375.72,190.94,1.4674,2.4442,37.43,8.0383,0.00053552,-16.449,18.308,1.7894e-05,3.2907e-05,16469,0.37824,8.0383,6.0881,0.00053552,-16.449,1,-0.2837,0,-0.13837
0.77027,7,4.4787e+06,1,5688,1.225,154.09,0.36215,0.0033589,1207.9,0.7361,228.35,372.81,-1.1722e+06,-1.1722e+06,0.84697,16885,382.44,169.73,1.419,2.2862,31.875,9.1958,0.0029419,-18.033,20.242,1.7894e-05,1.7617e-05,16810,0.51877,9.1958,9.08,0.0029419,-18.033,1,-0.28124,0,-0.1433
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27869,0,-0.14818
0.73604,7,4.0085e+06,1,5688,1.225,157.54,0.36215,0.0033589,-544.18,0.62323,218.2,356.24,-2.6983e+06,-2.6983e+06,0.75458,15552,375.73,127.55,1.3148,1.971,29.583,9.7978,-0.0029521,-17.665,20.2,1.7894e-05,1.2474e-05,15379,0.46218,9.7978,8.8479,-0.0029521,-17.665,1,-0.27606,0,-0.15303
0.72135,7,4.0307e+06,1,5688,1.225,159.58,0.36215,0.0033589,816.57,0.57709,213.84,349.13,-1.4504e+06,-1.4504e+06,0.76992,14047,373.42,111.74,1.2663,1.8299,31.572,10.314,0.0022143,-17.839,20.606,1.7894e-05,1.6617e-05,13945,0.47158,10.314,10.093,0.0022143,-17.839,1,-0.27335,0,-0.15782
0.70473,7,4.6785e+06,1,5688,1.225,172,0.36215,0.0033589,405.67,0.53785,208.92,341.09,-1.8256e+06,-1.8256e+06,0.7474,15087,380.92,99.776,1.2236,1.7087,25.904,10.701,-0.00199,-17.796,20.766,1.7894e-05,1.1014e-05,14967,0.45778,10.701,8.0721,-0.00199,-17.796,1,-0.27056,0,-0.16257
0.68869,7,4.1249e+06,1,5688,1.225,172.69,0.36215,0.0033589,320.15,0.48966,204.16,333.32,-1.817e+06,-1.817e+06,0.4882,14181,376.85,85.709,1.1738,1.5796,28.38,10.341,0.0012787,-16.531,19.499,1.7894e-05,1.8813e-05,14048,0.29902,10.341,5.6993,0.0012787,-16.531,1,-0.26768,0,-0.16726
0.67013,7,3.9481e+06,1,5688,1.225,184.48,0.36215,0.0033589,914.45,0.45878,198.66,324.34,-2.1696e+06,-2.1696e+06,0.68883,15706,383.14,77.402,1.139,1.4877,21.501,11.481,0.0019733,-17.661,21.065,1.7894e-05,6.9153e-06,15568,0.42191,11.481,7.4582,0.0019733,-17.661,1,-0.26472,0,-0.17191
0.65539,7,4.1378e+06,1,5688,1.225,177.36,0.36215,0.0033589,437.81,0.40945,194.29,317.21,-1.3105e+06,-1.3105e+06,0.4156,12494,371.65,64.445,1.0844,1.3567,28.822,10.911,0.0025594,-16.125,19.47,1.7894e-05,2.0294e-05,12385,0.25455,10.911,5.4322,0.0025594,-16.125,1,-0.26168,0,-0.1765
0.6385,7,3.9603e+06,1,5688,1.225,185.18,0.36215,0.0033589,-300.77,0.38907,189.28,309.03,-1.9723e+06,-1.9723e+06,0.66667,12255,374.46,59.178,1.0586,1.2922,24.298,12.356,-0.00020637,-17.636,21.534,1.7894e-05,8.6016e-06,12091,0.40833,12.356,9.6015,-0.00020637,-17.636,1,-0.25856,0,-0.18104
0.62485,7,3.9731e+06,1,5688,1.225,189.37,0.36215,0.0033589,62.385,0.36226,185.24,302.43,-1.0831e+06,-1.0831e+06,0.52816,11484,374.61,52.976,1.0248,1.2137,24.3,12.333,0.00027805,-16.959,20.969,1.7894e-05,9.3915e-06,11387,0.3235,12.333,8.0371,0.00027805,-16.959,1,-0.25536,0,-0.18553
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25208,0,-0.18996
0.5931,7,4.1121e+06,1,5688,1.225,194.96,0.36215,0.0033589,364.03,0.30825,175.82,287.06,-1.1222e+06,-1.1222e+06,0.26283,10771,370.78,40.95,0.95687,1.0661,24.37,12.006,0.003218,-15.367,19.501,1.7894e-05,1.3261e-05,10664,0.16098,12.006,3.9237,0.003218,-15.367,1,-0.24873,0,-0.19433
0.57704,7,4.6098e+06,1,5688,1.225,199.79,0.36215,0.0033589,673.22,0.28979,171.06,279.29,-1.2981e+06,-1.2981e+06,0.2854,10874,370.86,37.311,0.93141,1.0123,21.949,12.514,0.00527,-15.437,19.872,1.7894e-05,1.0223e-05,10754,0.17481,12.514,4.234,0.00527,-15.437,1,-0.2453,0,-0.19864
0.56338,7,4.1775e+06,1,5688,1.225,200.27,0.36215,0.0033589,553.74,0.26584,167.01,272.68,-1.1209e+06,-1.1209e+06,0.31659,9394.6,367.28,32.703,0.89827,0.94509,24.444,12.966,0.0019705,-15.436,20.159,1.7894e-05,1.3619e-05,9274.1,0.19391,12.966,5.0679,0.0019705,-15.436,1,-0.24179,0,-0.20289
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23822,0,-0.20708
0.53417,7,3.976e+06,1,5688,1.225,210.66,0.36215,0.0033589,-180.52,0.23583,158.35,258.54,-1.269e+06,-1.269e+06,0.39063,9294.8,369.01,27.281,0.85268,0.85496,19.492,14.208,7.6172e-06,-15.774,21.229,1.7894e-05,5.7986e-06,9157.9,0.23926,14.208,6.7657,7.6172e-06,-15.774,1,-0.23457,0,-0.2112
0.52019,7,3.9996e+06,1,5688,1.225,217.04,0.36215,0.0033589,-335.13,0.22072,154.21,251.77,-1.4531e+06,-1.4531e+06,0.3605,9417,371.25,24.609,0.83013,0.81311,18.189,14.496,-8.8287e-05,-15.537,21.25,1.7894e-05,5.007e-06,9262.1,0.22081,14.496,6.1076,-8.8287e-05,-15.537,1,-0.23084,0,-0.21527
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22705,0,-0.21926
0.4958,7,4.5402e+06,1,5688,1.225,220.24,0.36215,0.0033589,-260.52,0.19565,146.98,239.97,-8.5094e+05,-8.5094e+05,0.32193,7912.1,367.22,20.539,0.78783,0.73542,18.645,15.082,-0.0003028,-15.079,21.327,1.7894e-05,4.7614e-06,7804.4,0.19718,15.082,6.4955,-0.0003028,-15.079,1,-0.22319,0,-0.22319
0.48402,7,4.1234e+06,1,5688,1.225,221.34,0.36215,0.0033589,-92.352,0.18196,143.49,234.26,-9.982e+05,-9.982e+05,0.26884,7587.2,364.82,18.354,0.76448,0.69503,20.104,15.036,0.0022995,-14.491,20.883,1.7894e-05,8.6482e-06,7454,0.16466,15.036,5.0689,0.0022995,-14.491,1,-0.21926,0,-0.22705
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21527,0,-0.23084
0.46422,7,4.5314e+06,1,5688,1.225,229.54,0.36215,0.0033589,763.8,0.16297,137.62,224.68,-8.0883e+05,-8.0883e+05,0.28859,7457.6,367.16,15.637,0.73045,0.63748,16.539,15.951,0.0011778,-14.361,21.463,1.7894e-05,4.0835e-06,7348.2,0.17676,15.951,5.8763,0.0011778,-14.361,1,-0.2112,0,-0.23457
0.45343,7,3.9528e+06,1,5688,1.225,235.37,0.36215,0.0033589,481.15,0.1529,134.42,219.46,-1.0501e+06,-1.0501e+06,0.2181,8181.9,369.79,14.207,0.71185,0.6072,13.396,15.895,0.0017155,-13.819,21.062,1.7894e-05,1.9406e-06,8052.4,0.13359,15.895,3.8813,0.0017155,-13.819,1,-0.20708,0,-0.23822
0.44575,7,4.2385e+06,1,5688,1.225,226.81,0.36215,0.0033589,-56.566,0.14099,132.14,215.75,-7.9908e+05,-7.9908e+05,0.13095,6419.1,358.95,12.519,0.68973,0.57288,21.177,15.471,0.0043518,-12.955,20.178,1.7894e-05,1.0718e-05,6291.7,0.080205,15.471,2.7032,0.0043518,-12.955,1,-0.20289,0,-0.24179
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19864,0,-0.2453
0.43039,7,4.0301e+06,1,5688,1.225,233.31,0.36215,0.0033589,506.38,0.12752,127.59,208.31,-7.5461e+05,-7.5461e+05,0.16415,5921.7,360.9,10.802,0.6615,0.52913,17.981,16.394,0.0043882,-12.807,20.804,1.7894e-05,6.6842e-06,5791.6,0.10054,16.394,3.9244,0.0043882,-12.807,1,-0.19433,0,-0.24873
0.42318,7,4.0491e+06,1,5688,1.225,236.06,0.36215,0.0033589,316.37,0.12095,125.45,204.82,-7.8783e+05,-7.8783e+05,0.22437,6350.5,361.51,9.9684,0.64739,0.5078,16.147,17.021,0.0029232,-12.814,21.305,1.7894e-05,4.753e-06,6225.1,0.13742,17.021,4.9434,0.0029232,-12.814,1,-0.18996,0,-0.25208
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18553,0,-0.25536
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18104,0,-0.25856
