"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_Lift","helicity","laminar_kinetic_energy","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
-0.32451,7,1.2816e+06,1,6552,1.225,9.9801,0.38162,0.10885,18393,1.5903,-157.06,-1.0029e+06,-1.0029e+06,0,28087,-86.222,8445.5,3.3179,15.01,69.364,1.0383,0.67741,-3.3028,3.6354,1.7894e-05,0.00018845,28079,0,1.0383,0,0.67741,-3.3028,1,0.30014,0,0.097523
-0.32118,7,1.3545e+06,1,6552,1.225,11.902,0.38162,0.10885,11808,1.4,-155.45,-2.9524e+05,-2.9524e+05,0,23143,-83.31,7337.3,3.2262,14.273,71.976,1.2713,0.52928,-3.8389,4.1501,1.7894e-05,0.00020585,23151,0,1.2713,0,0.52928,-3.8389,1,0.2984,0,0.10275
-0.31645,7,1.4025e+06,1,6552,1.225,10.812,0.38162,0.10885,9446.2,1.4685,-153.16,-3.1458e+05,-3.1458e+05,0,26048,-82.999,7835.8,3.2469,14.422,69.403,1.2329,0.39092,-3.5258,3.8417,1.7894e-05,0.00019275,26053,0,1.2329,0,0.39092,-3.5258,1,0.29656,0,0.10794
-0.30941,7,1.434e+06,1,6552,1.225,9.5945,0.38162,0.10885,6973.3,1.5387,-149.75,-7.5689e+05,-7.5689e+05,0,29317,-82.129,8340.5,3.2677,14.569,66.778,1.1408,0.28082,-3.1034,3.4898,1.7894e-05,0.00017917,29313,0,1.1408,0,0.28082,-3.1034,1,0.29463,0,0.1131
-0.30027,7,1.489e+06,1,6552,1.225,9.9103,0.38162,0.10885,3987.1,1.443,-145.33,-2.2843e+06,-2.2843e+06,0,27382,-79.105,7716.3,3.2074,14.068,67.565,1.2062,0.17059,-3.1384,3.6025,1.7894e-05,0.00018515,27349,0,1.2062,0,0.17059,-3.1384,1,0.29261,0,0.11822
-0.29117,7,1.5636e+06,1,6552,1.225,9.5537,0.38162,0.10885,1936.4,1.3663,-140.93,-3.1047e+06,-3.1047e+06,0,25315,-76.764,7137.5,3.1517,13.604,68.066,1.2587,0.075732,-3.1324,3.6024,1.7894e-05,0.00018882,25264,0,1.2587,0,0.075732,-3.1324,1,0.2905,0,0.12331
-0.28267,7,1.6434e+06,1,6552,1.225,8.0607,0.38162,0.10885,398.23,1.4043,-136.81,-4.7755e+06,-4.7755e+06,0,27184,-75.736,7301.1,3.1501,13.559,65.927,1.1373,0.0064219,-2.7104,3.2406,1.7894e-05,0.00017744,27098,0,1.1373,0,0.0064219,-2.7104,1,0.28831,0,0.12836
-0.27231,7,1.7381e+06,1,6552,1.225,7.5262,0.38162,0.10885,-1836,1.3342,-131.8,-3.6883e+06,-3.6883e+06,0,24772,-73.201,6674.8,3.0942,13.094,67.065,1.1486,-0.075014,-2.6249,3.2035,1.7894e-05,0.00018346,24706,0,1.1486,0,-0.075014,-2.6249,1,0.28602,0,0.13337
-0.26172,7,1.8287e+06,1,6552,1.225,6.5374,0.38162,0.10885,-3164.3,1.2747,-126.67,-5.4182e+06,-5.4182e+06,0,23364,-71.049,6185.3,3.036,12.613,66.716,1.117,-0.13311,-2.4608,3.0354,1.7894e-05,0.00018241,23258,0,1.117,0,-0.13311,-2.4608,1,0.28365,0,0.13835
-0.25281,7,1.943e+06,1,6552,1.225,7.0895,0.38162,0.10885,-2670.5,1.0689,-122.36,-1.4908e+06,-1.4908e+06,0,15945,-67.857,4643.2,2.8924,11.498,72.159,1.3355,-0.15602,-2.8727,3.3184,1.7894e-05,0.00021125,15906,0,1.3355,0,-0.15602,-2.8727,1,0.28119,0,0.14327
-0.24458,7,2.016e+06,1,6552,1.225,5.1173,0.38162,0.10885,-3061.6,1.09,-118.38,-2.6302e+06,-2.6302e+06,0,17081,-67.388,4702.2,2.8837,11.4,68.806,1.1027,-0.16624,-2.3284,2.8422,1.7894e-05,0.00019373,17012,0,1.1027,0,-0.16624,-2.3284,1,0.27865,0,0.14816
