"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_D_contact","expr:C_Lift","expr:C_Lift_contact","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
-0.81382,7,2.6442e+07,1,6552,1.225,31.691,0.41222,0.45044,0.062609,0.070707,936.43,3.0001,-241.26,-393.89,1.5891e+06,1.5891e+06,0,39495,-209.57,13771,3.8884,19.702,67.118,6.9784,0.028223,0.010548,6.9786,1.7894e-05,0.00014302,39539,0,6.9784,0,0.028223,0.010548,1,1.9324e-17,0,0.31559
-0.81523,7,1.0367e+07,1,6552,1.225,34.004,0.41222,0.45044,0.062609,0.070707,951.29,2.9928,-241.68,-394.57,1.5253e+06,1.5253e+06,0,39280,-207.67,13875,3.8961,19.8,67.439,7.244,0.026539,0.13597,7.2454,1.7894e-05,0.00014486,39323,0,7.244,0,0.026539,0.13597,1,-0.0055078,0,0.31554
-0.81638,7,1.0366e+07,1,6552,1.225,35.722,0.41222,0.45044,0.062609,0.070707,757.61,3.0187,-242.01,-395.13,1.7444e+06,1.7444e+06,0,39711,-206.29,14203,3.9166,20.016,67.469,7.4276,0.022003,0.26624,7.4326,1.7894e-05,0.00014536,39759,0,7.4276,0,0.022003,0.26624,1,-0.011014,0,0.3154
-0.8153,7,1.0364e+07,1,6552,1.225,37.791,0.41222,0.45044,0.062609,0.070707,507.22,3.0068,-241.7,-394.61,1.7129e+06,1.7129e+06,0,39794,-203.91,14292,3.9195,20.063,67.388,7.6448,0.016465,0.4097,7.6559,1.7894e-05,0.00014554,39841,0,7.6448,0,0.016465,0.4097,1,-0.016517,0,0.31516
-0.81353,7,1.0361e+07,1,6552,1.225,40.194,0.41222,0.45044,0.062609,0.070707,691.64,2.9971,-241.17,-393.75,1.8029e+06,1.8029e+06,0,39071,-200.98,14339,3.9281,20.174,68.209,7.8937,0.019136,0.55857,7.9136,1.7894e-05,0.00014946,39122,0,7.8937,0,0.019136,0.55857,1,-0.022014,0,0.31482
-0.81035,7,1.036e+07,1,6552,1.225,42.034,0.41222,0.45044,0.062609,0.070707,547.24,2.9922,-240.23,-392.21,1.8091e+06,1.8091e+06,0,39082,-198.2,14459,3.935,20.261,68.347,8.0693,0.015057,0.71253,8.1008,1.7894e-05,0.00015043,39133,0,8.0693,0,0.015057,0.71253,1,-0.027505,0,0.31439
-0.80593,7,1.0363e+07,1,6552,1.225,43.989,0.41222,0.45044,0.062609,0.070707,514.63,2.981,-238.92,-390.07,1.7857e+06,1.7857e+06,0,38800,-194.93,14493,3.9381,20.311,68.625,8.2516,0.01493,0.87188,8.2976,1.7894e-05,0.00015204,38850,0,8.2516,0,0.01493,0.87188,1,-0.032988,0,0.31386
-0.80086,7,1.0366e+07,1,6552,1.225,45.245,0.41222,0.45044,0.062609,0.070707,289.48,3.001,-237.42,-387.62,1.9748e+06,1.9748e+06,0,39206,-192.17,14783,3.9553,20.495,68.673,8.3533,0.0073521,1.0302,8.4168,1.7894e-05,0.00015248,39261,0,8.3533,0,0.0073521,1.0302,1,-0.038461,0,0.31324
-0.79429,7,1.0365e+07,1,6552,1.225,46.023,0.41222,0.45044,0.062609,0.070707,379.73,3.0133,-235.47,-384.44,1.9487e+06,1.9487e+06,0,40048,-189.44,14975,3.96,20.54,67.863,8.4034,0.0090233,1.1825,8.4864,1.7894e-05,0.00014937,40101,0,8.4034,0,0.0090233,1.1825,1,-0.043922,0,0.31252
-0.7865,7,1.0359e+07,1,6552,1.225,47.024,0.41222,0.45044,0.062609,0.070707,36.598,3.0234,-233.16,-380.67,2.0391e+06,2.0391e+06,0,40478,-186.13,15189,3.9707,20.658,67.745,8.4726,0.0016586,1.3471,8.5791,1.7894e-05,0.00014903,40533,0,8.4726,0,0.0016586,1.3471,1,-0.049369,0,0.3117
-0.77725,7,1.0356e+07,1,6552,1.225,49.536,0.41222,0.45044,0.062609,0.070707,316.15,2.9781,-230.42,-376.19,1.9925e+06,1.9925e+06,0,39175,-180.88,14964,3.9629,20.611,68.712,8.6892,0.0051615,1.5349,8.8238,1.7894e-05,0.00015378,39230,0,8.6892,0,0.0051615,1.5349,1,-0.054802,0,0.3108
