"Cp","cell_element_type","cell_id","cell_type","cell_zone","density","dynamic_pressure","expr:C_D","expr:C_L","helicity","laminar_kinetic_energy","pressure","pressure_coefficient","q_criterion","raw_q_criterion","skin_friction_coef","strain_rate_mag","total_pressure","turb_diss_rate","turb_intensity","turb_kinetic_energy","turb_reynolds_number_rey","velocity:0","velocity:1","velocity:2","velocity_magnitude","viscosity_lam","viscosity_turb","vorticity_mag","wall_shear","x_velocity","y_plus","y_velocity","z_velocity","vtkValidPointMask","Points:0","Points:1","Points:2"
0.37642,7,1.1617e+07,1,5688,1.225,29.301,0.37528,0.023894,-2256.1,5.9349e-05,111.59,182.19,1.5899e+06,1.5899e+06,0,52449,140.89,0.00026489,0.0093096,7.1159e-05,0.28293,3.7289,-0.037167,5.2541,6.465,1.7894e-05,6.351e-12,52482,0,3.7289,0,-0.037167,5.2541,1,-0.25869,0,0.18114
0.40498,7,1.1611e+07,1,5688,1.225,26.821,0.37528,0.023894,-149.39,6.0432e-05,120.06,196.01,1.8621e+06,1.8621e+06,0,51960,146.88,0.00025134,0.0093524,7.1298e-05,0.2832,3.4467,-0.0094746,5.043,6.1491,1.7894e-05,6.8388e-12,51998,0,3.4467,0,-0.0094746,5.043,1,-0.26181,0,0.17659
0.43402,7,1.0956e+07,1,5688,1.225,24.571,0.37528,0.023894,-14.397,6.1473e-05,128.67,210.07,1.6746e+06,1.6746e+06,0,52230,153.24,0.00023911,0.0093977,7.1567e-05,0.28367,3.1721,-0.014955,4.8185,5.8418,1.7894e-05,7.2973e-12,52267,0,3.1721,0,-0.014955,4.8185,1,-0.26485,0,0.172
0.46234,7,1.1168e+07,1,5688,1.225,22.622,0.37528,0.023894,250.91,6.2585e-05,137.06,223.77,1.2566e+06,1.2566e+06,0,51581,159.68,0.00022832,0.0094485,7.1914e-05,0.28386,2.93,-0.0097312,4.6207,5.5768,1.7894e-05,7.9172e-12,51607,0,2.93,0,-0.0097312,4.6207,1,-0.26781,0,0.16735
0.49057,7,1.1154e+07,1,5688,1.225,20.419,0.37528,0.023894,-2015.8,6.3756e-05,145.43,237.44,9.0602e+05,9.0602e+05,0,50650,165.85,0.00021888,0.0095042,7.2324e-05,0.28438,2.6823,-0.034023,4.3778,5.2738,1.7894e-05,8.59e-12,50670,0,2.6823,0,-0.034023,4.3778,1,-0.27069,0,0.16265
0.51734,7,1.1413e+07,1,5688,1.225,18.18,0.37528,0.023894,-2180.9,6.4362e-05,153.37,250.39,1.1577e+06,1.1577e+06,0,51017,171.55,0.0002104,0.0095153,7.2086e-05,0.28387,2.3939,-0.039213,4.0825,4.9338,1.7894e-05,8.8328e-12,51042,0,2.3939,0,-0.039213,4.0825,1,-0.27349,0,0.1579
0.54412,7,1.1443e+07,1,5688,1.225,16.354,0.37528,0.023894,-724.64,6.5328e-05,161.31,263.36,8.9145e+05,8.9145e+05,0,50444,177.66,0.00020287,0.0095633,7.2498e-05,0.28437,2.1664,-0.017228,3.8381,4.6569,1.7894e-05,9.4535e-12,50466,0,2.1664,0,-0.017228,3.8381,1,-0.2762,0,0.1531
0.57008,7,1.1183e+07,1,5688,1.225,14.309,0.37528,0.023894,-994.17,6.5866e-05,169,275.92,4.7002e+05,4.7002e+05,0,50259,183.31,0.00019595,0.0095759,7.2356e-05,0.28338,1.899,-0.022937,3.505,4.3196,1.7894e-05,9.8196e-12,50271,0,1.899,0,-0.022937,3.505,1,-0.27883,0,0.14826
0.59546,7,1.0815e+07,1,5688,1.225,12.889,0.37528,0.023894,-1057.5,6.6544e-05,176.52,288.2,7.2973e+05,7.2973e+05,0,50189,189.41,0.00018977,0.0096092,7.2662e-05,0.28322,1.689,-0.022481,3.2491,4.0744,1.7894e-05,1.034e-11,50207,0,1.689,0,-0.022481,3.2491,1,-0.28138,0,0.14337
0.62087,7,1.072e+07,1,5688,1.225,11.338,0.37528,0.023894,-1684,6.7138e-05,184.06,300.5,4.8152e+05,4.8152e+05,0,49800,195.39,0.00018416,0.0096376,7.2909e-05,0.28288,1.4662,-0.02706,2.939,3.7911,1.7894e-05,1.0886e-11,49813,0,1.4662,0,-0.02706,2.939,1,-0.28384,0,0.13844
0.64499,7,1.0694e+07,1,5688,1.225,9.9033,0.37528,0.023894,-1162.9,6.7697e-05,191.21,312.17,8.6516e+05,8.6516e+05,0,49268,201.11,0.00017921,0.0096652,7.3148e-05,0.28237,1.2613,-0.021286,2.6256,3.5097,1.7894e-05,1.141e-11,49289,0,1.2613,0,-0.021286,2.6256,1,-0.28621,0,0.13346
0.66879,7,1.0754e+07,1,5688,1.225,8.8384,0.37528,0.023894,46.669,6.8195e-05,198.26,323.7,6.6836e+05,6.6836e+05,0,48910,207.1,0.00017469,0.0096966,7.3574e-05,0.28207,1.0843,-0.0089152,2.3585,3.2902,1.7894e-05,1.2046e-11,48927,0,1.0843,0,-0.0089152,2.3585,1,-0.2885,0,0.12845
0.69225,7,1.0838e+07,1,5688,1.225,7.8344,0.37528,0.023894,-564.02,6.8568e-05,205.22,335.05,18686,18686,0,48414,213.05,0.00017056,0.0097251,7.404e-05,0.2818,0.91816,-0.016864,2.0776,3.0658,1.7894e-05,1.2723e-11,48418,0,0.91816,0,-0.016864,2.0776,1,-0.2907,0,0.12339
0.71438,7,1.1013e+07,1,5688,1.225,6.8049,0.37528,0.023894,-79.603,6.8748e-05,211.78,345.76,4.3234e+05,4.3234e+05,0,48032,218.58,0.00016668,0.0097331,7.4099e-05,0.2804,0.72898,-0.0094157,1.7169,2.8033,1.7894e-05,1.3159e-11,48045,0,0.72898,0,-0.0094157,1.7169,1,-0.2928,0,0.1183
0.73605,7,1.124e+07,1,5688,1.225,6.0125,0.37528,0.023894,-1693.7,6.8878e-05,218.2,356.25,1.3803e+05,1.3803e+05,0,47574,224.21,0.00016323,0.0097475,7.4389e-05,0.2794,0.57318,-0.032815,1.3869,2.5769,1.7894e-05,1.373e-11,47580,0,0.57318,0,-0.032815,1.3869,1,-0.29482,0,0.11317
0.75716,7,1.1045e+07,1,5688,1.225,5.3003,0.37528,0.023894,-748.25,6.8682e-05,224.46,366.47,-77542,-77542,0,47078,229.76,0.00015971,0.0097382,7.4327e-05,0.27823,0.40321,-0.016294,1.015,2.3103,1.7894e-05,1.409e-11,47079,0,0.40321,0,-0.016294,1.015,1,-0.29675,0,0.10801
